"Effect_Size_ID","Study_ID","Species_ID","Treatment_ID_T1","Treatment_ID_T2","Trait_ID","First_Author","Title","Year","Journal","Journal_Impact_Factor-2021","Kingdom","Phylum","Class","Order","Family","Scientific_Name","Ecosystem","Plasticity_Mechanism","Developmental_Exposure_Time_Category","Developmental_Exposure_Time","Acclimation_Exposure_Time","Exposure_Units","T1_constant","T1_fluctuation","T2_constant","T2_fluctuation","High","Fluctuation_Magnitude","Fluctuation_Category","Fluctuation_Period","Fluctuation_Unit","Number_Of_Fluctuations","Acclimation_Life-History_Stage","Acclimation_Life-History_Stage_Category","Trait_Category","Measurement","Trait_Unit","Sex","Performance_Curve","Complex_Design","Species_Overlap","Animal_Overlap_T1_Constant","Animal_Overlap_T1_Fluctuation","Animal_Overlap_Trait_T1","Animal_Overlap_T2_Constant","Animal_Overlap_T2_Fluctuation","Animal_Overlap_Trait_T2","Animal_Code","Shared_Animal_Number","Shared_Control_T1","Shared_Control_T2","Shared_Control_Code","Shared_Control_Number","n_T1_C","Mean_T1_C","SD_Final_T1_C","n_T1_F","Mean_T1_F","SD_Final_T1_F","n_T2_C","Mean_T2_C","SD_Final_T2_C","n_T2_F","Mean_T2_F","SD_Final_T2_F","Percentage_Transformation_T1","Proportion_Transformation_T1","In_Transformation_T1","Percentage_Transformation_T2","Proportion_Transformation_T2","In_Transformation_T2","Mean_Transformed_T1_C","SD_Final_Transformed_T1_C","Mean_Transformed_T1_F","SD_Final_Transformed_T1_F","Mean_Transformed_T2_C","SD_Final_Transformed_T2_C","Mean_Transformed_T2_F","SD_Final_Transformed_T2_F","Mean_T1_C_Add","SD_Final_T1_C_Add","Mean_T1_F_Add","SD_Final_T1_F_Add","Mean_T2_C_Add","SD_Final_T2_C_Add","Mean_T2_F_Add","SD_Final_T2_F_Add","InRR_Transformed","v_InRR","InRR_Untransformed","v_InRR_Untransformed","Year_Z","Precision"
1,4,1,1,2,1,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Metazoa","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena tityrus","Terrestrial","Developmental Plasticity","Larvae","Larvae Period","NA","NA",17.7,17.7,23.7,23.7,"T2",10,"Stepwise","1","Day","NA","NA","NA","Life-History Traits","Development Time","Days","Male","No","Yes","A","A","B","A","C","D","A","4:A:A:B:C:D:A:A",1,"A","B","4:A:A:B:1",1,50,32.7392739273928,1.75026430986766,50,26.1386138613862,2.33368574649025,50,17.3102310231023,1.16684287324512,50,16.3201320132013,2.33368574649025,"No","No","No","No","No","No",33.2392739273928,2.25026430986766,26.6386138613862,2.83368574649025,17.8102310231023,1.66684287324512,16.8201320132013,2.83368574649025,33.2392739273928,2.25026430986766,26.6386138613862,2.83368574649025,17.8102310231023,1.66684287324512,16.8201320132013,2.83368574649025,0.0273622914439933,0.167727463298229,0.0273622914439933,0.167727463298229,-0.0713966829653055,0.101497470088885
2,4,1,1,2,2,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Metazoa","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena tityrus","Terrestrial","Developmental Plasticity","Larvae","Larvae Period","NA","NA",17.7,17.7,23.7,23.7,"T2",10,"Stepwise","1","Day","NA","NA","NA","Life-History Traits","Development Time","Days","Female","No","Yes","A","A","B","B","C","D","B","4:A:A:B:C:D:B:B",2,"A","B","4:A:A:B:2",2,50,36.1221122112211,2.91710718311284,50,29.1089108910891,1.75026430986776,50,18.6303630363036,2.91710718311279,50,16.7326732673267,2.33368574649025,"No","No","No","No","No","No",36.6221122112211,3.41710718311284,29.6089108910891,2.25026430986776,19.1303630363036,3.41710718311279,17.2326732673267,2.83368574649025,36.6221122112211,3.41710718311284,29.6089108910891,2.25026430986776,19.1303630363036,3.41710718311279,17.2326732673267,2.83368574649025,0.0180178811532015,0.168135216993983,0.0180178811532015,0.168135216993983,-0.0713966829653055,0.0974166466862017
3,4,1,1,2,3,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Metazoa","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena tityrus","Terrestrial","Developmental Plasticity","Larvae","Larvae Period","NA","NA",17.7,17.7,23.7,23.7,"T2",10,"Stepwise","1","Day","NA","NA","NA","Morphology","Mass","mg","Male","No","Yes","A","A","B","A","C","D","A","4:A:A:B:C:D:A:A",1,"A","B","4:A:A:B:3",3,50,133,9.4280904158207,50,127.666666666667,8.24957911384319,50,109.666666666667,11.7851130197757,50,110,8.24957911384299,"No","No","No","No","No","No",133.5,9.9280904158207,128.166666666667,8.74957911384319,110.166666666667,12.2851130197757,110.5,8.74957911384299,133.5,9.9280904158207,128.166666666667,8.74957911384319,110.166666666667,12.2851130197757,110.5,8.74957911384299,0.00729852131614766,0.167244587822458,0.00729852131614766,0.167244587822458,-0.0713966829653055,0.106355852102794
4,4,1,1,2,4,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Metazoa","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena tityrus","Terrestrial","Developmental Plasticity","Larvae","Larvae Period","NA","NA",17.7,17.7,23.7,23.7,"T2",10,"Stepwise","1","Day","NA","NA","NA","Morphology","Mass","mg","Female","No","Yes","A","A","B","B","C","D","B","4:A:A:B:C:D:B:B",2,"A","B","4:A:A:B:4",4,50,131.333333333333,12.9636243217532,50,135.333333333333,9.4280904158207,50,112.166666666667,10.6066017177982,50,115,7.07106781186548,"No","No","No","No","No","No",131.833333333333,13.4636243217532,135.833333333333,9.9280904158207,112.666666666667,11.1066017177982,115.5,7.57106781186548,131.833333333333,13.4636243217532,135.833333333333,9.9280904158207,112.666666666667,11.1066017177982,115.5,7.57106781186548,-0.000842203721045445,0.167262399739619,-0.000842203721045445,0.167262399739619,-0.0713966829653055,0.106176141776244
5,4,1,1,2,5,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Metazoa","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena tityrus","Terrestrial","Developmental Plasticity","Larvae","Larvae Period","NA","NA",17.7,17.7,23.7,23.7,"T2",10,"Stepwise","1","Day","NA","NA","NA","Life-History Traits","Development Time","Days","Male","No","Yes","A","A","B","A","C","D","A","4:A:A:B:C:D:A:A",1,"A","B","4:A:A:B:5",5,50,17.8560885608856,2.1917700966668,50,15.7749077490775,1.25244005523815,50,9.88560885608856,1.25244005523816,50,9.44280442804428,1.87866008285726,"No","No","No","No","No","No",18.3560885608856,2.6917700966668,16.2749077490775,1.75244005523815,10.3856088560886,1.75244005523816,9.94280442804428,2.37866008285726,18.3560885608856,2.6917700966668,16.2749077490775,1.75244005523815,10.3856088560886,1.75244005523816,9.94280442804428,2.37866008285726,0.0127941389666763,0.169042738668606,0.012794138966677,0.169042738668606,-0.0713966829653055,0.0884047841203212
6,4,1,1,2,6,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Metazoa","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena tityrus","Terrestrial","Developmental Plasticity","Larvae","Larvae Period","NA","NA",17.7,17.7,23.7,23.7,"T2",10,"Stepwise","1","Day","NA","NA","NA","Life-History Traits","Development Time","Days","Female","No","Yes","A","A","B","B","C","D","B","4:A:A:B:C:D:B:B",2,"A","B","4:A:A:B:6",6,50,19.3173431734317,2.19177009666675,50,15.1107011070111,1.56555006904769,50,9.92988929889299,1.25244005523816,50,9.44280442804428,0.93933004142863,"No","No","No","No","No","No",19.8173431734317,2.69177009666675,15.6107011070111,2.06555006904769,10.429889298893,1.75244005523816,9.94280442804428,1.43933004142863,19.8173431734317,2.69177009666675,15.6107011070111,2.06555006904769,10.429889298893,1.75244005523816,9.94280442804428,1.43933004142863,0.0317957143219579,0.168369544752971,0.031795714321958,0.168369544752971,-0.0713966829653055,0.0950804237930219
7,4,1,1,2,7,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Metazoa","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena tityrus","Terrestrial","Developmental Plasticity","Larvae","Larvae Period","NA","NA",17.7,17.7,23.7,23.7,"T2",10,"Stepwise","1","Day","NA","NA","NA","Gene Expression","hsp70","Relative Expression","Male","No","Yes","A","A","B","A","C","D","A","4:A:A:B:C:D:A:A",1,"A","B","4:A:A:B:7",7,10,0.381959459459459,0.0416651448468131,10,0.345810810810811,0.0256400891365003,10,0.383986486486486,0.0395284707521046,10,0.33972972972973,0.0267084261838545,"No","No","No","No","No","No",0.881959459459459,0.541665144846813,0.845810810810811,0.5256400891365,0.883986486486486,0.539528470752105,0.83972972972973,0.526708426183854,0.881959459459459,0.541665144846813,0.845810810810811,0.5256400891365,0.883986486486486,0.539528470752105,0.83972972972973,0.526708426183854,-0.00158521701563249,0.319601084401389,-0.00158521701563247,0.319601084401389,-0.0713966829653055,-0.698120761246485
8,4,1,1,2,8,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Metazoa","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena tityrus","Terrestrial","Developmental Plasticity","Larvae","Larvae Period","NA","NA",17.7,17.7,23.7,23.7,"T2",10,"Stepwise","1","Day","NA","NA","NA","Gene Expression","hsp70","Relative Expression","Female","No","Yes","A","A","B","B","C","D","B","4:A:A:B:C:D:B:B",2,"A","B","4:A:A:B:8",8,10,0.35527027027027,0.0245717520891462,10,0.324189189189189,0.0352551225626881,10,0.366756756756757,0.0352551225626881,10,0.333310810810811,0.0438018189415215,"No","No","No","No","No","No",0.85527027027027,0.524571752089146,0.824189189189189,0.535255122562688,0.866756756756757,0.535255122562688,0.833310810810811,0.543801818941521,0.85527027027027,0.524571752089146,0.824189189189189,0.535255122562688,0.866756756756757,0.535255122562688,0.833310810810811,0.543801818941521,-0.000389043794701426,0.327182885256578,-0.000389043794701426,0.327182885256578,-0.0713966829653055,-0.718584562698809
9,4,1,1,2,9,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Metazoa","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena tityrus","Terrestrial","Developmental Plasticity","Larvae","Larvae Period","NA","NA",17.7,17.7,23.7,23.7,"T2",10,"Stepwise","1","Day","NA","NA","NA","Biochemical Assay","Haemocytes","No.","Male","No","Yes","A","A","B","A","C","D","A","4:A:A:B:C:D:A:A",1,"A","B","4:A:A:B:9",9,25,30.1010101010101,5.38720538720536,25,36.969696969697,15.4882154882155,25,25.7912457912458,8.75420875420875,25,30.3703703703704,14.1414141414141,"No","No","No","No","No","No",30.6010101010101,5.88720538720536,37.469696969697,15.9882154882155,26.2912457912458,9.25420875420875,30.8703703703704,14.6414141414141,30.6010101010101,5.88720538720536,37.469696969697,15.9882154882155,26.2912457912458,9.25420875420875,30.8703703703704,14.6414141414141,-0.00698978253053638,0.189383735047444,-0.00698978253053638,0.189383735047444,-0.0713966829653055,-0.0909222589467454
10,4,1,1,2,10,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Metazoa","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena tityrus","Terrestrial","Developmental Plasticity","Larvae","Larvae Period","NA","NA",17.7,17.7,23.7,23.7,"T2",10,"Stepwise","1","Day","NA","NA","NA","Biochemical Assay","Haemocytes","No.","Female","No","Yes","A","A","B","B","C","D","B","4:A:A:B:C:D:B:B",2,"A","B","4:A:A:B:10",10,25,34.2760942760943,11.4478114478115,25,48.2828282828283,16.8350168350169,25,23.5016835016835,5.3872053872054,25,32.5252525252525,11.4478114478114,"No","No","No","No","No","No",34.7760942760943,11.9478114478115,48.7828282828283,17.3350168350169,24.0016835016835,5.8872053872054,33.0252525252525,11.9478114478114,34.7760942760943,11.9478114478115,48.7828282828283,17.3350168350169,24.0016835016835,5.8872053872054,33.0252525252525,11.9478114478114,-0.00321660729562144,0.184080965666302,-0.00321660729562144,0.184080965666302,-0.0713966829653055,-0.0479919571947405
11,4,1,1,2,11,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Metazoa","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena tityrus","Terrestrial","Developmental Plasticity","Larvae","Larvae Period","NA","NA",17.7,17.7,23.7,23.7,"T2",10,"Stepwise","1","Day","NA","NA","NA","Biochemical Assay","PO Activity","No.","Male","No","Yes","A","A","B","A","C","D","A","4:A:A:B:C:D:A:A",1,"A","B","4:A:A:B:11",11,25,12.0408163265306,5.44217687074831,25,9.18367346938775,6.80272108843541,25,8.63945578231293,5.44217687074831,25,11.2244897959184,5.44217687074831,"No","No","No","No","No","No",12.5408163265306,5.94217687074831,9.68367346938775,7.30272108843541,9.13945578231293,5.94217687074831,11.7244897959184,5.94217687074831,12.5408163265306,5.94217687074831,9.68367346938775,7.30272108843541,9.13945578231293,5.94217687074831,11.7244897959184,5.94217687074831,0.0846043781429138,0.225578726353024,0.0846043781429138,0.225578726353024,-0.0713966829653055,-0.33004474733573
12,4,1,1,2,12,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Metazoa","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena tityrus","Terrestrial","Developmental Plasticity","Larvae","Larvae Period","NA","NA",17.7,17.7,23.7,23.7,"T2",10,"Stepwise","1","Day","NA","NA","NA","Biochemical Assay","PO Activity","No.","Female","No","Yes","A","A","B","B","C","D","B","4:A:A:B:C:D:B:B",2,"A","B","4:A:A:B:12",12,25,35.9863945578231,12.9251700680272,25,42.6530612244898,18.3673469387755,25,26.5986394557823,13.6054421768707,25,34.8979591836735,17.0068027210884,"No","No","No","No","No","No",36.4863945578231,13.4251700680272,43.1530612244898,18.8673469387755,27.0986394557823,14.1054421768707,35.3979591836735,17.5068027210884,36.4863945578231,13.4251700680272,43.1530612244898,18.8673469387755,27.0986394557823,14.1054421768707,35.3979591836735,17.5068027210884,0.0165594544523874,0.200350330867221,0.0165594544523874,0.200350330867221,-0.0713966829653055,-0.172496277752378
